epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.54149,1.96583,4.59897,1.467,0.00017,0.05556,0.01158,0.00695,1.65207,4.13589,1.14901,0.000125,0.000125,0.000125
2,4.25731,1.74713,3.95214,1.20975,0.00513,0.15933,0.01657,0.00385,1.55606,4.03368,1.0846,0.000259901,0.000259901,0.000259901
3,5.96526,1.79018,3.11655,1.17508,0.00585,0.18134,0.0609,0.01965,1.52314,3.98191,1.1206,0.00039208,0.00039208,0.00039208
4,7.66569,1.73486,2.23056,1.19468,0.01008,0.29769,0.10436,0.04088,1.66373,3.56101,1.12234,0.000521536,0.000521536,0.000521536
5,9.45142,1.6718,1.85913,1.14565,0.01335,0.36688,0.15577,0.06221,1.62471,3.35236,1.10678,0.00064827,0.00064827,0.00064827
6,11.128,1.63718,1.82778,1.16287,0.01487,0.41719,0.28528,0.1506,1.54517,3.184,1.0831,0.000772281,0.000772281,0.000772281
7,12.8882,1.52082,1.68988,1.1388,0.01574,0.48323,0.37683,0.18832,1.48092,2.85172,1.08247,0.00089357,0.00089357,0.00089357
8,14.7713,1.50301,1.53636,1.12004,0.57263,0.08656,0.3878,0.20193,1.45414,2.49427,1.08836,0.00101214,0.00101214,0.00101214
9,16.4093,1.4875,1.49297,1.10281,0.5298,0.09067,0.35495,0.18074,1.55239,2.50111,1.13765,0.00112798,0.00112798,0.00112798
10,18.1291,1.55633,1.55983,1.12634,0.46351,0.20304,0.40316,0.22543,1.5218,2.25293,1.16942,0.00113863,0.00113863,0.00113863
11,19.9437,1.47989,1.48018,1.12799,0.43716,0.2953,0.42467,0.23872,1.53559,2.03038,1.18916,0.00112625,0.00112625,0.00112625
12,21.6248,1.40149,1.38957,1.08759,0.53532,0.30863,0.43263,0.24659,1.54027,1.96838,1.13339,0.00111388,0.00111388,0.00111388
13,23.2616,1.41519,1.36934,1.06287,0.49148,0.33543,0.42724,0.2426,1.50714,1.79481,1.13644,0.0011015,0.0011015,0.0011015
14,24.8465,1.37844,1.29599,1.09349,0.3912,0.37945,0.44729,0.24414,1.52666,1.69132,1.15903,0.00108913,0.00108913,0.00108913
15,26.5939,1.37681,1.28137,1.06609,0.51084,0.5153,0.45635,0.24503,1.50016,1.2615,1.1384,0.00107675,0.00107675,0.00107675
16,28.2136,1.35248,1.19091,1.06302,0.56966,0.40047,0.44677,0.26279,1.472,1.07991,1.15178,0.00106437,0.00106437,0.00106437
17,29.9006,1.33942,1.24239,1.0607,0.46232,0.40786,0.52953,0.27508,1.45504,1.14071,1.12942,0.001052,0.001052,0.001052
18,31.6236,1.29358,1.17027,1.03585,0.57265,0.44864,0.46493,0.27127,1.39033,0.9642,1.09945,0.00103962,0.00103962,0.00103962
19,33.2827,1.29066,1.11584,1.0387,0.40779,0.46002,0.44037,0.22218,1.5236,1.12101,1.16185,0.00102725,0.00102725,0.00102725
20,34.9681,1.31485,1.20581,1.03199,0.35593,0.57862,0.52187,0.24914,1.62426,1.28998,1.17038,0.00101488,0.00101488,0.00101488
21,36.681,1.24908,1.12734,1.02928,0.44863,0.45538,0.56089,0.31403,1.4166,1.03871,1.09342,0.0010025,0.0010025,0.0010025
